entity,term,count,,,entity,term,count,entity,term,count
Gene,TBL1,4,,,,,,,,
Gene,pericentrin,4,,,,,,,,
Gene,IQGAP1,4,,,,,,,,
Gene,SSB-2,4,,,,,,,,
Gene,caveolin-1,4,,,,,,,,
Gene,Btk,4,,,,,,,,
Gene,myocardin,4,,,,,,,,
Gene,Lrfn1,4,,,,,,,,
Gene,Reelin,4,,,,,,,,
Gene,betaKlotho,4,,,,,,,,
Gene,histone H1,4,,,,,,,,
Gene,NMDAR,4,,,,,,,,
Gene,Cyfip1,4,,,,,,,,
Gene,BD1,4,,,,,,,,
Gene,BD2,4,,,,,,,,
Gene,hausp,4,,,,,,,,
Gene,GSK-3beta,4,,,,,,,,
Gene,DYRK3,4,,,,,,,,
Gene,IGFN1,4,,,,,,,,
Gene,Dpy-30,4,,,,,,,,
Gene,Foxo4,4,,,,,,,,
Gene,SIRT5,4,,,,,,,,
Gene,WASP,4,,,,,,,,
Gene,BECN1,4,,,,,,,,
Gene,LC3,4,,,,,,,,
Gene,HelG,4,,,,,,,,
Gene,Ndfip1,4,,,,,,,,
Gene,TDP-43,4,,,,,,,,
Gene,SERT,4,,,,,,,,
Gene,PWWP2A/B,4,,,,,,,,
Gene,MTA1,4,,,,,,,,
Gene,H2A.Z,4,,,,,,,,
Species,Murine,4,,,,,,,,
Species,Escherichia coli,4,,,,,,,,
Species,Saccharomyces cerevisiae,4,,,,,,,,
Chemical,heparan sulfate,4,,,,,,,,
Chemical,N,4,,,,,,,,
Chemical,purine,4,,,,,,,,
Chemical,threonine,4,,,,,,,,
Chemical,Tyr,4,,,,,,,,
Chemical,disulfide,4,,,,,,,,
Chemical,phosphopeptide,4,,,,,,,,
Chemical,Lys4,4,,,,,,,,
Chemical,phosphate,4,,,,,,,,
Chemical,ROS,4,,,,,,,,
Chromosome,chromosome 5,4,,,,,,,,
Chromosome,chromosome 11,4,,,,,,,,
Disease,tuberous sclerosis,4,,,,,,,,
Disease,Miller-Dieker syndrome,4,,,,,,,,
Disease,type I lissencephaly,4,,,,,,,,
Disease,Smith-Magenis syndrome,4,,,,,,,,
Disease,schizophrenia,4,,,,,,,,
Disease,infertility,4,,,,,,,,
Disease,hypertrophy,4,,,,,,,,
